column_name,data_type
id,STRING
current_max_stage_timestamp,TIMESTAMP
current_max_stage_name,STRING
current_max_stage_number,INT64
last_live_stage_timestamp,TIMESTAMP
last_live_stage_name,STRING
last_live_stage_number,INT64
lead_status,STRING
lead_status_stage_name,STRING
one_marketing_ready_lead_pre,INT64
two_marketing_qualified_lead_pre,INT64
three_sales_ready_lead_pre,INT64
four_converted_to_opp_pre,INT64
five_discover_pre,INT64
six_develop_and_prove_pre,INT64
seven_proposal_negotiation_pre,INT64
eight_agree_and_close_contract_pre,INT64
nine_closed_won_pre,INT64
one_marketing_ready_lead,INT64
two_marketing_qualified_lead,INT64
three_sales_ready_lead,INT64
four_converted_to_opp,INT64
five_discover,INT64
six_develop_and_prove,INT64
seven_proposal_negotiation,INT64
eight_agree_and_close_contract,INT64
nine_closed_won,INT64
one_marketing_ready_lead_pre_timestamp,TIMESTAMP
two_marketing_qualified_lead_pre_timestamp,TIMESTAMP
three_sales_ready_lead_pre_timestamp,TIMESTAMP
four_converted_to_opp_pre_timestamp,TIMESTAMP
five_discover_pre_timestamp,TIMESTAMP
six_develop_and_prove_pre_timestamp,TIMESTAMP
seven_proposal_negotiation_pre_timestamp,TIMESTAMP
eight_agree_and_close_contract_pre_timestamp,TIMESTAMP
nine_closed_won_pre_timestamp,TIMESTAMP
_closed_lost,TIMESTAMP
_no_opportunity,TIMESTAMP
one_marketing_ready_lead_add,TIMESTAMP
two_marketing_qualified_lead_add,TIMESTAMP
three_sales_ready_lead_add,TIMESTAMP
four_converted_to_opp_add,TIMESTAMP
five_discover_add,TIMESTAMP
six_develop_and_prove_add,TIMESTAMP
seven_proposal_negotiation_add,TIMESTAMP
eight_agree_and_close_contract_add,TIMESTAMP
nine_closed_won_add,TIMESTAMP
lead_id,STRING
original_lead_source,STRING
adjusted_lead_source,STRING
lead_industry_sector,STRING
salesforce_lead_segment_id,STRING
salesforce_lead_segment_id_name,STRING
lead_spoor_id,STRING
createdbyid,STRING
lead_owner_id,STRING
lead_owner_name,STRING
lead_owner_team,STRING
lead_region,STRING
lead_subregion,STRING
lead_country,STRING
lead_gclid,STRING
lead_cpc,STRING
oppo_id,STRING
oppo_owner_id,STRING
oppo_owner_name,STRING
oppo_owner_team,STRING
oppo_amount_gbp,FLOAT64
oppo_closed_lost_reason,STRING
oppo_closed_date,DATE
oppo_product_name,STRING
contract_amount_gbp,FLOAT64
contract_start_date,DATE
contract_total_core_readers,INT64
contract_total_licenced_readers,INT64
contract_licence_type,STRING
contract_licence_name,STRING
contract_licence_solution,STRING
contract_type,STRING
contract_owner_id,STRING
contract_owner_name,STRING
contract_owner_team,STRING
client_type,STRING
contractnumber,STRING
sf_contract_number,STRING
spoor_id,STRING
visit_segment_id,STRING
visit_marketing_campaign_name,STRING
inbound_outbound,STRING